theta1,theta2,theta3,theta4,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
-1.047,0.431,0.492,-1.293,0.146,-0.232,0.129,-0.092,-0.159,-0.491,0.851,3.141,2.772,2.095
-1.047,0.427,0.481,-1.282,0.146,-0.232,0.131,-0.093,-0.161,-0.491,0.851,3.141,2.768,2.095
-1.047,0.42,0.457,-1.26,0.147,-0.234,0.135,-0.095,-0.165,-0.491,0.85,3.141,2.758,2.094
-1.047,0.416,0.445,-1.248,0.148,-0.235,0.137,-0.096,-0.167,-0.491,0.85,3.141,2.754,2.094
-1.047,0.416,0.445,-1.248,0.148,-0.235,0.137,-0.096,-0.167,-0.491,0.85,3.141,2.754,2.094
-1.047,0.408,0.42,-1.225,0.149,-0.237,0.144,-0.1,-0.172,-0.49,0.849,3.14,2.741,2.095
-1.047,0.404,0.408,-1.213,0.149,-0.237,0.144,-0.1,-0.172,-0.49,0.849,3.14,2.741,2.095
-1.047,0.4,0.395,-1.201,0.149,-0.238,0.146,-0.101,-0.174,-0.49,0.848,3.141,2.736,2.094
-1.047,0.396,0.382,-1.189,0.15,-0.238,0.149,-0.102,-0.177,-0.489,0.848,3.141,2.73,2.095
-1.047,0.392,0.369,-1.176,0.15,-0.239,0.151,-0.103,-0.179,-0.489,0.847,3.141,2.725,2.094
-1.047,0.388,0.356,-1.164,0.151,-0.24,0.153,-0.104,-0.181,-0.489,0.847,3.141,2.721,2.094
-1.047,0.383,0.342,-1.151,0.151,-0.24,0.156,-0.105,-0.183,-0.489,0.847,3.14,2.717,2.094
-1.047,0.379,0.329,-1.138,0.151,-0.241,0.158,-0.107,-0.185,-0.488,0.846,3.141,2.711,2.095
-1.047,0.375,0.315,-1.125,0.152,-0.242,0.161,-0.108,-0.187,-0.488,0.846,3.141,2.706,2.095
-1.047,0.366,0.291,-1.101,0.152,-0.243,0.166,-0.11,-0.191,-0.488,0.845,3.141,2.697,2.094
-1.047,0.362,0.273,-1.085,0.153,-0.243,0.169,-0.112,-0.194,-0.487,0.844,3.141,2.69,2.095
-1.047,0.357,0.259,-1.072,0.153,-0.244,0.172,-0.113,-0.196,-0.487,0.844,3.141,2.685,2.095
-1.047,0.352,0.244,-1.058,0.153,-0.244,0.175,-0.114,-0.198,-0.487,0.843,3.141,2.681,2.094
-1.047,0.348,0.23,-1.044,0.153,-0.245,0.178,-0.116,-0.2,-0.486,0.843,3.14,2.675,2.096
-1.047,0.343,0.215,-1.03,0.154,-0.245,0.181,-0.117,-0.202,-0.486,0.842,3.141,2.67,2.095
-1.047,0.339,0.2,-1.017,0.154,-0.245,0.183,-0.118,-0.205,-0.486,0.842,3.141,2.664,2.094
-1.047,0.334,0.186,-1.002,0.154,-0.246,0.186,-0.12,-0.207,-0.485,0.841,3.14,2.658,2.096
-1.047,0.325,0.157,-0.974,0.154,-0.246,0.19,-0.121,-0.209,-0.485,0.84,3.141,2.654,2.095
-1.047,0.32,0.141,-0.96,0.154,-0.247,0.196,-0.124,-0.214,-0.484,0.839,3.141,2.642,2.095
-1.047,0.315,0.126,-0.946,0.155,-0.247,0.199,-0.125,-0.216,-0.484,0.839,3.141,2.637,2.095
-1.047,0.31,0.11,-0.931,0.155,-0.247,0.202,-0.126,-0.219,-0.484,0.838,3.141,2.631,2.094
-1.047,0.305,0.095,-0.917,0.155,-0.247,0.205,-0.128,-0.221,-0.483,0.837,3.141,2.625,2.095
-1.047,0.301,0.08,-0.902,0.155,-0.247,0.208,-0.129,-0.223,-0.483,0.837,3.141,2.621,2.095
-1.047,0.296,0.064,-0.888,0.155,-0.247,0.212,-0.13,-0.226,-0.483,0.836,3.14,2.614,2.093
-1.047,0.286,0.036,-0.859,0.155,-0.247,0.215,-0.132,-0.228,-0.482,0.835,3.141,2.608,2.095
-1.047,0.286,0.034,-0.858,0.155,-0.247,0.218,-0.133,-0.231,-0.482,0.835,3.141,2.602,2.094
-1.047,0.281,0.018,-0.844,0.154,-0.247,0.222,-0.134,-0.233,-0.481,0.834,3.141,2.597,2.095
-1.047,0.271,-0.011,-0.815,0.154,-0.246,0.228,-0.137,-0.238,-0.481,0.833,3.141,2.585,2.094
-1.047,0.271,-0.013,-0.814,0.154,-0.246,0.228,-0.137,-0.238,-0.481,0.833,3.141,2.585,2.094
-1.047,0.262,-0.042,-0.786,0.154,-0.246,0.235,-0.14,-0.242,-0.48,0.831,3.141,2.575,2.094
-1.047,0.257,-0.06,-0.77,0.154,-0.245,0.238,-0.141,-0.245,-0.48,0.831,3.141,2.569,2.094
-1.047,0.252,-0.075,-0.756,0.153,-0.245,0.242,-0.143,-0.247,-0.479,0.83,3.141,2.563,2.095
-1.047,0.247,-0.091,-0.741,0.153,-0.244,0.245,-0.144,-0.25,-0.479,0.829,3.141,2.556,2.093
-1.047,0.242,-0.106,-0.726,0.153,-0.244,0.248,-0.145,-0.252,-0.478,0.829,3.141,2.552,2.095
-1.047,0.237,-0.122,-0.712,0.152,-0.243,0.252,-0.147,-0.254,-0.478,0.828,3.141,2.546,2.095
-1.047,0.232,-0.137,-0.697,0.152,-0.243,0.255,-0.148,-0.257,-0.477,0.827,3.141,2.539,2.095
-1.047,0.227,-0.152,-0.682,0.152,-0.242,0.258,-0.15,-0.259,-0.477,0.826,3.141,2.533,2.094
-1.047,0.227,-0.152,-0.682,0.151,-0.241,0.262,-0.151,-0.261,-0.477,0.826,3.141,2.529,2.094
-1.047,0.213,-0.198,-0.639,0.151,-0.24,0.265,-0.152,-0.264,-0.476,0.825,3.141,2.522,2.095
-1.047,0.208,-0.214,-0.624,0.15,-0.239,0.272,-0.155,-0.268,-0.475,0.823,3.141,2.512,2.095
-1.047,0.198,-0.244,-0.596,0.149,-0.237,0.278,-0.158,-0.273,-0.474,0.822,3.14,2.5,2.096
-1.047,0.194,-0.259,-0.582,0.148,-0.236,0.281,-0.159,-0.275,-0.474,0.821,3.141,2.495,2.095
-1.047,0.189,-0.274,-0.568,0.148,-0.235,0.285,-0.16,-0.277,-0.474,0.82,3.141,2.49,2.093
-1.047,0.184,-0.288,-0.553,0.147,-0.234,0.288,-0.161,-0.28,-0.473,0.82,3.141,2.484,2.095
-1.047,0.18,-0.303,-0.54,0.146,-0.233,0.291,-0.163,-0.282,-0.473,0.819,3.141,2.478,2.094
-1.047,0.175,-0.318,-0.526,0.146,-0.232,0.294,-0.164,-0.284,-0.472,0.818,3.141,2.473,2.095
-1.047,0.171,-0.332,-0.512,0.145,-0.231,0.297,-0.165,-0.286,-0.472,0.817,3.141,2.468,2.094
-1.047,0.166,-0.347,-0.498,0.144,-0.229,0.3,-0.166,-0.288,-0.471,0.817,3.142,2.464,2.096
-1.047,0.162,-0.361,-0.485,0.144,-0.228,0.303,-0.168,-0.291,-0.471,0.816,3.142,2.456,2.095
-1.047,0.157,-0.375,-0.471,0.143,-0.227,0.306,-0.169,-0.293,-0.47,0.815,3.142,2.451,2.095
-1.047,0.153,-0.389,-0.458,0.142,-0.226,0.309,-0.17,-0.295,-0.47,0.814,3.141,2.447,2.094
-1.047,0.144,-0.413,-0.434,0.141,-0.223,0.315,-0.173,-0.299,-0.469,0.813,3.14,2.436,2.096
-1.047,0.14,-0.43,-0.419,0.14,-0.222,0.318,-0.174,-0.301,-0.469,0.812,3.141,2.431,2.094
-1.047,0.135,-0.444,-0.406,0.139,-0.22,0.32,-0.175,-0.303,-0.468,0.811,3.141,2.426,2.095
-1.047,0.131,-0.457,-0.394,0.138,-0.219,0.323,-0.176,-0.305,-0.468,0.811,3.142,2.422,2.095
-1.047,0.127,-0.47,-0.381,0.138,-0.217,0.326,-0.177,-0.307,-0.467,0.81,3.142,2.417,2.096
-1.047,0.127,-0.47,-0.381,0.137,-0.216,0.328,-0.178,-0.309,-0.467,0.809,3.141,2.412,2.094
-1.047,0.119,-0.496,-0.357,0.136,-0.215,0.331,-0.179,-0.311,-0.467,0.808,3.14,2.407,2.093
-1.047,0.111,-0.521,-0.333,0.134,-0.212,0.336,-0.182,-0.314,-0.466,0.807,3.14,2.399,2.095
-1.047,0.107,-0.533,-0.322,0.134,-0.212,0.336,-0.182,-0.314,-0.466,0.807,3.14,2.399,2.095
-1.047,0.103,-0.545,-0.31,0.133,-0.209,0.34,-0.184,-0.318,-0.465,0.806,3.14,2.39,2.096
-1.047,0.1,-0.557,-0.299,0.132,-0.207,0.343,-0.185,-0.32,-0.465,0.805,3.141,2.385,2.094
-1.047,0.096,-0.569,-0.288,0.131,-0.206,0.345,-0.186,-0.322,-0.464,0.804,3.141,2.38,2.095
-1.047,0.092,-0.58,-0.277,0.13,-0.204,0.347,-0.187,-0.323,-0.464,0.803,3.141,2.376,2.094
-1.047,0.089,-0.592,-0.267,0.129,-0.203,0.349,-0.188,-0.325,-0.463,0.803,3.14,2.372,2.096
-1.047,0.082,-0.611,-0.247,0.128,-0.2,0.353,-0.189,-0.328,-0.463,0.801,3.14,2.365,2.093
-1.047,0.079,-0.624,-0.236,0.127,-0.199,0.355,-0.19,-0.33,-0.462,0.801,3.141,2.36,2.095
-1.047,0.075,-0.635,-0.226,0.126,-0.197,0.357,-0.191,-0.331,-0.462,0.8,3.141,2.357,2.094
-1.047,0.072,-0.645,-0.216,0.125,-0.196,0.359,-0.192,-0.333,-0.462,0.8,3.141,2.353,2.094
-1.047,0.069,-0.655,-0.207,0.124,-0.194,0.361,-0.193,-0.334,-0.461,0.799,3.141,2.349,2.095
-1.047,0.066,-0.665,-0.197,0.123,-0.193,0.363,-0.194,-0.336,-0.461,0.798,3.141,2.345,2.094
-1.047,0.063,-0.674,-0.188,0.123,-0.192,0.364,-0.195,-0.337,-0.46,0.798,3.14,2.342,2.096
-1.047,0.06,-0.683,-0.18,0.122,-0.19,0.366,-0.195,-0.339,-0.46,0.797,3.14,2.338,2.094
-1.047,0.057,-0.693,-0.171,0.121,-0.189,0.367,-0.196,-0.34,-0.46,0.797,3.141,2.335,2.094
-1.047,0.051,-0.71,-0.154,0.12,-0.186,0.37,-0.198,-0.342,-0.459,0.796,3.14,2.329,2.096
-1.047,0.049,-0.718,-0.146,0.119,-0.185,0.372,-0.198,-0.344,-0.459,0.795,3.14,2.325,2.094
-1.047,0.046,-0.727,-0.139,0.118,-0.184,0.373,-0.199,-0.345,-0.459,0.794,3.141,2.322,2.093
-1.047,0.044,-0.734,-0.131,0.117,-0.183,0.375,-0.2,-0.346,-0.458,0.794,3.141,2.319,2.096
-1.047,0.041,-0.742,-0.124,0.117,-0.181,0.376,-0.2,-0.347,-0.458,0.793,3.141,2.317,2.094
-1.047,0.037,-0.757,-0.11,0.116,-0.18,0.377,-0.201,-0.348,-0.458,0.793,3.142,2.315,2.094
-1.047,0.034,-0.764,-0.103,0.115,-0.178,0.379,-0.202,-0.35,-0.457,0.792,3.141,2.309,2.095
-1.047,0.032,-0.77,-0.097,0.114,-0.177,0.381,-0.203,-0.351,-0.457,0.792,3.14,2.307,2.095
-1.047,0.03,-0.777,-0.091,0.114,-0.176,0.382,-0.203,-0.352,-0.457,0.791,3.141,2.305,2.093
-1.047,0.028,-0.783,-0.085,0.113,-0.175,0.383,-0.204,-0.353,-0.456,0.791,3.14,2.302,2.096
-1.047,0.026,-0.789,-0.079,0.112,-0.174,0.384,-0.204,-0.354,-0.456,0.79,3.141,2.299,2.094
-1.047,0.025,-0.795,-0.074,0.112,-0.173,0.384,-0.205,-0.355,-0.456,0.79,3.141,2.297,2.095
-1.047,0.023,-0.801,-0.069,0.111,-0.172,0.385,-0.205,-0.356,-0.456,0.79,3.14,2.295,2.094
-1.047,0.021,-0.806,-0.064,0.111,-0.171,0.386,-0.206,-0.356,-0.456,0.789,3.141,2.294,2.094
-1.047,0.02,-0.811,-0.059,0.11,-0.17,0.387,-0.206,-0.357,-0.455,0.789,3.141,2.292,2.096
-1.047,0.018,-0.816,-0.054,0.11,-0.17,0.388,-0.207,-0.358,-0.455,0.789,3.14,2.289,2.096
-1.047,0.015,-0.825,-0.046,0.109,-0.168,0.389,-0.207,-0.359,-0.455,0.788,3.141,2.287,2.094
-1.047,0.014,-0.829,-0.042,0.109,-0.167,0.39,-0.208,-0.36,-0.455,0.788,3.141,2.284,2.094
-1.047,0.013,-0.833,-0.038,0.108,-0.167,0.39,-0.208,-0.36,-0.455,0.788,3.141,2.284,2.094
-1.047,0.012,-0.837,-0.035,0.108,-0.166,0.391,-0.208,-0.361,-0.454,0.787,3.141,2.282,2.095
-1.047,0.01,-0.84,-0.031,0.108,-0.166,0.391,-0.209,-0.361,-0.454,0.787,3.14,2.281,2.096
-1.047,0.009,-0.843,-0.028,0.107,-0.165,0.392,-0.209,-0.362,-0.454,0.787,3.141,2.279,2.095
-1.047,0.008,-0.846,-0.025,0.107,-0.164,0.392,-0.209,-0.362,-0.454,0.787,3.141,2.279,2.095
-1.047,0.007,-0.849,-0.022,0.107,-0.164,0.393,-0.209,-0.363,-0.454,0.786,3.14,2.277,2.093
-1.047,0.007,-0.852,-0.02,0.106,-0.164,0.393,-0.21,-0.363,-0.454,0.786,3.141,2.276,2.094
-1.047,0.005,-0.857,-0.015,0.106,-0.163,0.394,-0.21,-0.364,-0.454,0.786,3.141,2.274,2.094
-1.047,0.004,-0.859,-0.013,0.106,-0.162,0.394,-0.21,-0.364,-0.454,0.786,3.141,2.274,2.094
-1.047,0.004,-0.859,-0.013,0.106,-0.162,0.394,-0.21,-0.364,-0.454,0.786,3.141,2.274,2.094
-1.047,0.003,-0.862,-0.01,0.105,-0.162,0.395,-0.21,-0.365,-0.453,0.786,3.141,2.272,2.096
-1.047,0.003,-0.864,-0.008,0.105,-0.161,0.395,-0.211,-0.365,-0.453,0.785,3.141,2.271,2.095
-1.047,0.002,-0.865,-0.007,0.105,-0.161,0.395,-0.211,-0.365,-0.453,0.785,3.141,2.271,2.095
-1.047,0.002,-0.867,-0.006,0.105,-0.161,0.395,-0.211,-0.365,-0.453,0.785,3.141,2.271,2.095
-1.047,0.002,-0.868,-0.005,0.105,-0.161,0.395,-0.211,-0.365,-0.453,0.785,3.141,2.271,2.095
-1.047,0.001,-0.869,-0.004,0.105,-0.161,0.395,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0.001,-0.87,-0.003,0.105,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0.001,-0.87,-0.002,0.105,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0,-0.872,-0.001,0.104,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0,-0.872,-0.001,0.104,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0,-0.872,-0.001,0.104,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0,-0.873,0,0.104,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0,-0.873,0,0.104,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0,-0.873,0,0.104,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0,-0.873,0,0.104,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0,-0.873,0,0.104,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0,-0.873,0,0.104,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-1.047,0,-0.873,0,0.104,-0.16,0.396,-0.211,-0.366,-0.453,0.785,3.141,2.269,2.095
-0.785,0,-0.873,0,0.143,-0.131,0.396,-0.162,-0.391,-0.347,0.837,3.141,2.268,2.355
-0.785,0,-0.873,0,0.143,-0.131,0.396,-0.162,-0.391,-0.347,0.837,3.141,2.268,2.355
-0.785,0,-0.873,0,0.143,-0.131,0.396,-0.162,-0.391,-0.347,0.837,3.141,2.268,2.355
-0.785,0,-0.873,0,0.143,-0.131,0.396,-0.162,-0.391,-0.347,0.837,3.141,2.268,2.355
-0.785,0,-0.873,0,0.143,-0.131,0.396,-0.162,-0.391,-0.347,0.837,3.141,2.268,2.355
-0.785,0,-0.873,0,0.143,-0.131,0.396,-0.162,-0.391,-0.347,0.837,3.141,2.268,2.355
-0.785,0,-0.872,-0.001,0.143,-0.131,0.396,-0.162,-0.391,-0.347,0.837,3.141,2.268,2.355
-0.785,0,-0.872,-0.001,0.143,-0.131,0.396,-0.162,-0.39,-0.347,0.837,3.141,2.269,2.356
-0.785,0,-0.872,-0.001,0.143,-0.131,0.396,-0.162,-0.39,-0.347,0.837,3.141,2.269,2.356
-0.785,0.001,-0.871,-0.002,0.143,-0.131,0.396,-0.162,-0.39,-0.347,0.837,3.141,2.269,2.356
-0.785,0.001,-0.87,-0.003,0.143,-0.131,0.396,-0.162,-0.39,-0.347,0.838,3.14,2.27,2.357
-0.785,0.001,-0.869,-0.004,0.143,-0.131,0.395,-0.161,-0.39,-0.347,0.838,3.14,2.271,2.356
-0.785,0.002,-0.868,-0.005,0.143,-0.131,0.395,-0.161,-0.39,-0.347,0.838,3.14,2.271,2.356
-0.785,0.002,-0.867,-0.006,0.143,-0.131,0.395,-0.161,-0.39,-0.347,0.838,3.14,2.271,2.356
-0.785,0.002,-0.865,-0.007,0.144,-0.132,0.395,-0.161,-0.389,-0.347,0.838,3.141,2.272,2.356
-0.785,0.003,-0.864,-0.008,0.144,-0.132,0.395,-0.161,-0.389,-0.347,0.838,3.141,2.272,2.356
-0.785,0.003,-0.862,-0.01,0.144,-0.132,0.395,-0.161,-0.389,-0.347,0.838,3.141,2.272,2.356
-0.785,0.004,-0.861,-0.012,0.144,-0.132,0.394,-0.161,-0.389,-0.347,0.838,3.141,2.272,2.356
-0.785,0.005,-0.857,-0.015,0.145,-0.133,0.394,-0.161,-0.388,-0.347,0.838,3.141,2.274,2.357
-0.785,0.006,-0.854,-0.018,0.145,-0.133,0.393,-0.161,-0.388,-0.347,0.839,3.14,2.275,2.358
-0.785,0.007,-0.852,-0.02,0.146,-0.133,0.393,-0.16,-0.387,-0.347,0.839,3.141,2.277,2.357
-0.785,0.008,-0.849,-0.022,0.146,-0.134,0.393,-0.16,-0.387,-0.347,0.839,3.141,2.277,2.357
-0.785,0.008,-0.846,-0.025,0.146,-0.134,0.392,-0.16,-0.387,-0.347,0.839,3.141,2.277,2.357
-0.785,0.009,-0.843,-0.028,0.147,-0.135,0.392,-0.16,-0.386,-0.348,0.839,3.141,2.279,2.355
-0.785,0.012,-0.837,-0.035,0.147,-0.135,0.391,-0.16,-0.386,-0.348,0.84,3.141,2.28,2.356
-0.785,0.013,-0.833,-0.038,0.148,-0.136,0.39,-0.159,-0.384,-0.348,0.84,3.141,2.284,2.356
-0.785,0.014,-0.829,-0.042,0.149,-0.137,0.39,-0.159,-0.384,-0.348,0.84,3.141,2.284,2.356
-0.785,0.015,-0.825,-0.046,0.149,-0.137,0.389,-0.159,-0.383,-0.348,0.841,3.14,2.287,2.358
-0.785,0.017,-0.82,-0.05,0.15,-0.138,0.388,-0.158,-0.382,-0.348,0.841,3.141,2.289,2.357
-0.785,0.018,-0.816,-0.054,0.151,-0.138,0.388,-0.158,-0.382,-0.348,0.841,3.141,2.289,2.357
-0.785,0.02,-0.811,-0.059,0.151,-0.139,0.387,-0.158,-0.381,-0.348,0.842,3.14,2.291,2.358
-0.785,0.023,-0.801,-0.069,0.153,-0.141,0.385,-0.157,-0.379,-0.349,0.842,3.141,2.296,2.356
-0.785,0.025,-0.795,-0.074,0.153,-0.141,0.384,-0.157,-0.379,-0.349,0.843,3.141,2.297,2.357
-0.785,0.026,-0.789,-0.079,0.154,-0.142,0.384,-0.156,-0.378,-0.349,0.843,3.14,2.299,2.356
-0.785,0.028,-0.783,-0.085,0.155,-0.143,0.383,-0.156,-0.377,-0.349,0.844,3.141,2.301,2.358
-0.785,0.03,-0.777,-0.091,0.156,-0.144,0.382,-0.156,-0.376,-0.349,0.844,3.14,2.303,2.358
-0.785,0.032,-0.77,-0.097,0.157,-0.144,0.381,-0.155,-0.375,-0.35,0.845,3.141,2.306,2.356
-0.785,0.037,-0.757,-0.11,0.158,-0.146,0.378,-0.154,-0.373,-0.35,0.845,3.14,2.311,2.356
-0.785,0.039,-0.75,-0.117,0.159,-0.147,0.377,-0.154,-0.371,-0.35,0.846,3.14,2.315,2.358
-0.785,0.041,-0.742,-0.124,0.16,-0.148,0.376,-0.153,-0.37,-0.35,0.846,3.141,2.317,2.357
-0.785,0.044,-0.734,-0.131,0.161,-0.149,0.375,-0.153,-0.369,-0.351,0.847,3.141,2.32,2.356
-0.785,0.046,-0.727,-0.139,0.162,-0.15,0.373,-0.152,-0.368,-0.351,0.848,3.141,2.323,2.356
-0.785,0.049,-0.718,-0.146,0.163,-0.151,0.372,-0.152,-0.367,-0.351,0.848,3.141,2.325,2.357
-0.785,0.054,-0.701,-0.163,0.164,-0.152,0.37,-0.151,-0.365,-0.351,0.849,3.141,2.329,2.358
-0.785,0.057,-0.693,-0.171,0.166,-0.154,0.367,-0.15,-0.363,-0.352,0.85,3.141,2.335,2.356
-0.785,0.06,-0.683,-0.18,0.167,-0.155,0.366,-0.15,-0.361,-0.352,0.85,3.14,2.338,2.357
-0.785,0.063,-0.674,-0.188,0.169,-0.156,0.364,-0.149,-0.36,-0.352,0.851,3.141,2.341,2.357
-0.785,0.066,-0.665,-0.197,0.17,-0.158,0.363,-0.148,-0.358,-0.353,0.852,3.141,2.346,2.356
-0.785,0.069,-0.655,-0.207,0.171,-0.159,0.361,-0.148,-0.357,-0.353,0.852,3.141,2.348,2.356
-0.785,0.075,-0.635,-0.226,0.173,-0.161,0.357,-0.146,-0.353,-0.353,0.854,3.141,2.358,2.358
-0.785,0.079,-0.624,-0.236,0.174,-0.162,0.355,-0.146,-0.352,-0.354,0.854,3.141,2.36,2.356
-0.785,0.082,-0.613,-0.246,0.175,-0.163,0.353,-0.145,-0.35,-0.354,0.855,3.141,2.364,2.357
-0.785,0.085,-0.603,-0.256,0.177,-0.165,0.351,-0.144,-0.348,-0.354,0.856,3.141,2.369,2.357
-0.785,0.089,-0.592,-0.267,0.178,-0.166,0.349,-0.144,-0.347,-0.355,0.856,3.141,2.371,2.355
-0.785,0.092,-0.58,-0.277,0.179,-0.167,0.347,-0.143,-0.345,-0.355,0.857,3.141,2.376,2.356
-0.785,0.1,-0.566,-0.292,0.18,-0.168,0.345,-0.142,-0.343,-0.355,0.858,3.141,2.381,2.357
-0.785,0.103,-0.545,-0.31,0.183,-0.17,0.34,-0.14,-0.339,-0.356,0.859,3.14,2.39,2.355
-0.785,0.107,-0.533,-0.322,0.184,-0.172,0.338,-0.14,-0.337,-0.356,0.86,3.14,2.394,2.357
-0.785,0.111,-0.521,-0.333,0.185,-0.173,0.336,-0.139,-0.336,-0.356,0.861,3.141,2.397,2.358
-0.785,0.115,-0.508,-0.345,0.186,-0.174,0.333,-0.138,-0.334,-0.357,0.862,3.141,2.403,2.356
-0.785,0.123,-0.484,-0.369,0.187,-0.175,0.331,-0.137,-0.332,-0.357,0.862,3.14,2.407,2.356
-0.785,0.127,-0.47,-0.381,0.19,-0.178,0.326,-0.136,-0.327,-0.358,0.864,3.14,2.418,2.356
-0.785,0.131,-0.457,-0.394,0.191,-0.179,0.323,-0.135,-0.325,-0.358,0.865,3.14,2.422,2.357
-0.785,0.135,-0.444,-0.406,0.192,-0.18,0.32,-0.134,-0.323,-0.358,0.866,3.141,2.427,2.358
-0.785,0.14,-0.43,-0.419,0.193,-0.181,0.318,-0.133,-0.321,-0.359,0.866,3.141,2.432,2.356
-0.785,0.144,-0.417,-0.432,0.194,-0.182,0.315,-0.132,-0.319,-0.359,0.867,3.141,2.437,2.356
-0.785,0.153,-0.398,-0.451,0.196,-0.184,0.309,-0.13,-0.315,-0.36,0.869,3.14,2.446,2.356
-0.785,0.157,-0.375,-0.471,0.197,-0.185,0.306,-0.129,-0.312,-0.36,0.87,3.141,2.453,2.357
-0.785,0.162,-0.361,-0.485,0.198,-0.186,0.303,-0.128,-0.31,-0.36,0.87,3.141,2.457,2.357
-0.785,0.166,-0.351,-0.494,0.199,-0.187,0.3,-0.127,-0.308,-0.361,0.871,3.14,2.462,2.355
-0.785,0.171,-0.332,-0.512,0.2,-0.188,0.297,-0.126,-0.305,-0.361,0.872,3.141,2.469,2.356
-0.785,0.175,-0.318,-0.526,0.201,-0.189,0.294,-0.125,-0.303,-0.361,0.873,3.141,2.474,2.357
-0.785,0.18,-0.303,-0.54,0.202,-0.19,0.291,-0.124,-0.301,-0.362,0.874,3.14,2.479,2.356
-0.785,0.189,-0.289,-0.554,0.204,-0.192,0.285,-0.123,-0.296,-0.362,0.875,3.14,2.489,2.357
-0.785,0.194,-0.259,-0.582,0.205,-0.193,0.281,-0.122,-0.294,-0.363,0.876,3.141,2.494,2.356
-0.785,0.199,-0.244,-0.596,0.206,-0.193,0.278,-0.121,-0.291,-0.363,0.877,3.14,2.5,2.357
-0.785,0.203,-0.229,-0.61,0.206,-0.194,0.275,-0.12,-0.289,-0.363,0.878,3.14,2.505,2.358
-0.785,0.208,-0.214,-0.624,0.207,-0.195,0.272,-0.119,-0.286,-0.364,0.878,3.141,2.511,2.356
-0.785,0.218,-0.194,-0.644,0.208,-0.196,0.265,-0.116,-0.281,-0.364,0.88,3.141,2.524,2.357
-0.785,0.222,-0.168,-0.668,0.209,-0.197,0.262,-0.115,-0.279,-0.365,0.881,3.14,2.529,2.356
-0.785,0.227,-0.152,-0.682,0.21,-0.197,0.258,-0.114,-0.276,-0.365,0.882,3.141,2.535,2.357
-0.785,0.232,-0.138,-0.697,0.21,-0.198,0.255,-0.113,-0.274,-0.365,0.882,3.141,2.539,2.357
-0.785,0.237,-0.123,-0.711,0.211,-0.198,0.252,-0.112,-0.271,-0.366,0.883,3.141,2.546,2.355
-0.785,0.237,-0.122,-0.712,0.212,-0.199,0.245,-0.11,-0.266,-0.366,0.885,3.142,2.558,2.357
-0.785,0.247,-0.098,-0.736,0.212,-0.199,0.245,-0.11,-0.266,-0.366,0.885,3.142,2.558,2.357
-0.785,0.252,-0.075,-0.756,0.212,-0.2,0.242,-0.109,-0.264,-0.367,0.886,3.141,2.563,2.356
-0.785,0.257,-0.06,-0.77,0.212,-0.2,0.238,-0.108,-0.261,-0.367,0.886,3.141,2.569,2.356
-0.785,0.262,-0.044,-0.785,0.213,-0.2,0.235,-0.107,-0.259,-0.367,0.887,3.141,2.574,2.357
-0.785,0.266,-0.028,-0.8,0.213,-0.201,0.232,-0.106,-0.256,-0.368,0.888,3.141,2.58,2.356
-0.785,0.271,-0.014,-0.814,0.213,-0.201,0.228,-0.105,-0.254,-0.368,0.888,3.141,2.585,2.356
-0.785,0.281,0.011,-0.838,0.213,-0.201,0.222,-0.103,-0.249,-0.368,0.89,3.142,2.596,2.357
-0.785,0.286,0.034,-0.858,0.214,-0.201,0.218,-0.102,-0.246,-0.369,0.891,3.141,2.603,2.356
-0.785,0.291,0.049,-0.873,0.214,-0.202,0.215,-0.101,-0.243,-0.369,0.891,3.141,2.609,2.357
-0.785,0.296,0.064,-0.888,0.214,-0.202,0.212,-0.1,-0.241,-0.369,0.892,3.141,2.614,2.357
-0.785,0.301,0.08,-0.902,0.214,-0.202,0.208,-0.099,-0.238,-0.37,0.893,3.141,2.62,2.356
-0.785,0.305,0.095,-0.917,0.214,-0.202,0.205,-0.098,-0.236,-0.37,0.893,3.141,2.625,2.356
-0.785,0.31,0.11,-0.931,0.214,-0.201,0.202,-0.097,-0.233,-0.37,0.894,3.14,2.631,2.357
-0.785,0.32,0.13,-0.95,0.214,-0.201,0.199,-0.096,-0.231,-0.37,0.895,3.141,2.636,2.358
