theta1,theta2,theta3,theta4,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
-1.57,0.066,-0.665,-0.197,0.012,-0.223,0.363,-0.274,-0.274,-0.652,0.652,3.142,2.346,1.571
-1.57,0.072,-0.645,-0.216,0.012,-0.226,0.359,-0.272,-0.272,-0.653,0.653,3.142,2.352,1.571
-1.57,0.075,-0.635,-0.226,0.012,-0.228,0.357,-0.27,-0.271,-0.653,0.654,3.141,2.357,1.572
-1.57,0.079,-0.624,-0.236,0.012,-0.229,0.355,-0.269,-0.269,-0.654,0.654,3.142,2.361,1.571
-1.57,0.082,-0.613,-0.246,0.012,-0.231,0.353,-0.268,-0.268,-0.654,0.655,3.141,2.364,1.573
-1.57,0.085,-0.603,-0.256,0.012,-0.233,0.351,-0.267,-0.267,-0.655,0.655,3.142,2.367,1.571
-1.57,0.089,-0.592,-0.267,0.012,-0.234,0.349,-0.265,-0.265,-0.655,0.656,3.141,2.373,1.573
-1.57,0.096,-0.577,-0.281,0.012,-0.238,0.345,-0.262,-0.263,-0.656,0.657,3.141,2.381,1.572
-1.57,0.1,-0.557,-0.299,0.012,-0.239,0.343,-0.261,-0.261,-0.657,0.657,3.142,2.385,1.571
-1.57,0.103,-0.545,-0.31,0.012,-0.241,0.34,-0.26,-0.26,-0.657,0.658,3.141,2.388,1.573
-1.57,0.107,-0.533,-0.322,0.012,-0.243,0.338,-0.258,-0.258,-0.658,0.659,3.141,2.395,1.573
-1.57,0.111,-0.521,-0.333,0.012,-0.245,0.336,-0.257,-0.257,-0.659,0.659,3.142,2.398,1.571
-1.57,0.115,-0.508,-0.345,0.012,-0.246,0.333,-0.255,-0.255,-0.659,0.66,3.141,2.404,1.573
-1.57,0.119,-0.496,-0.357,0.012,-0.248,0.331,-0.254,-0.254,-0.66,0.66,3.142,2.407,1.571
-1.57,0.123,-0.483,-0.369,0.012,-0.25,0.328,-0.252,-0.252,-0.66,0.661,3.141,2.413,1.573
-1.57,0.127,-0.47,-0.381,0.012,-0.251,0.326,-0.25,-0.251,-0.661,0.661,3.14,2.417,1.57
-1.57,0.131,-0.457,-0.394,0.012,-0.253,0.323,-0.249,-0.249,-0.662,0.662,3.142,2.422,1.571
-1.57,0.14,-0.443,-0.408,0.012,-0.256,0.318,-0.246,-0.246,-0.663,0.663,3.142,2.431,1.571
-1.57,0.14,-0.43,-0.419,0.012,-0.256,0.318,-0.246,-0.246,-0.663,0.663,3.142,2.431,1.571
-1.57,0.148,-0.411,-0.438,0.012,-0.259,0.312,-0.242,-0.242,-0.664,0.665,3.141,2.443,1.573
-1.57,0.153,-0.389,-0.458,0.012,-0.261,0.309,-0.241,-0.241,-0.665,0.665,3.142,2.446,1.571
-1.57,0.157,-0.375,-0.471,0.012,-0.262,0.306,-0.239,-0.239,-0.665,0.666,3.141,2.452,1.573
-1.57,0.162,-0.37,-0.476,0.012,-0.263,0.303,-0.237,-0.237,-0.666,0.666,3.142,2.458,1.571
-1.57,0.166,-0.347,-0.498,0.012,-0.265,0.3,-0.235,-0.236,-0.666,0.667,3.14,2.462,1.572
-1.57,0.171,-0.332,-0.512,0.012,-0.266,0.297,-0.234,-0.234,-0.667,0.668,3.141,2.467,1.573
-1.57,0.18,-0.313,-0.531,0.012,-0.269,0.291,-0.23,-0.23,-0.668,0.669,3.141,2.479,1.572
-1.57,0.184,-0.288,-0.553,0.012,-0.27,0.288,-0.228,-0.228,-0.669,0.669,3.142,2.485,1.571
-1.57,0.189,-0.274,-0.568,0.012,-0.271,0.285,-0.226,-0.227,-0.67,0.67,3.14,2.49,1.57
-1.57,0.194,-0.259,-0.582,0.012,-0.272,0.281,-0.225,-0.225,-0.67,0.671,3.141,2.494,1.572
-1.57,0.199,-0.244,-0.596,0.012,-0.274,0.278,-0.223,-0.223,-0.671,0.671,3.142,2.5,1.571
-1.57,0.208,-0.22,-0.62,0.012,-0.276,0.272,-0.219,-0.219,-0.672,0.673,3.141,2.512,1.572
-1.57,0.213,-0.198,-0.639,0.012,-0.277,0.268,-0.217,-0.217,-0.673,0.673,3.142,2.518,1.571
-1.57,0.218,-0.183,-0.653,0.012,-0.278,0.265,-0.215,-0.215,-0.673,0.674,3.141,2.524,1.572
-1.57,0.222,-0.168,-0.668,0.012,-0.279,0.262,-0.213,-0.213,-0.674,0.674,3.142,2.529,1.571
-1.57,0.227,-0.152,-0.682,0.012,-0.279,0.258,-0.211,-0.212,-0.674,0.675,3.14,2.534,1.572
-1.57,0.232,-0.137,-0.697,0.012,-0.28,0.255,-0.209,-0.21,-0.675,0.676,3.14,2.54,1.572
-1.57,0.237,-0.122,-0.712,0.012,-0.281,0.252,-0.208,-0.208,-0.676,0.676,3.142,2.545,1.571
-1.57,0.247,-0.098,-0.736,0.012,-0.282,0.245,-0.204,-0.204,-0.677,0.677,3.142,2.556,1.571
-1.57,0.252,-0.075,-0.756,0.012,-0.283,0.242,-0.202,-0.202,-0.677,0.678,3.141,2.562,1.572
-1.57,0.257,-0.06,-0.77,0.012,-0.283,0.238,-0.2,-0.2,-0.678,0.679,3.141,2.568,1.572
-1.57,0.262,-0.044,-0.785,0.012,-0.284,0.235,-0.198,-0.198,-0.679,0.679,3.142,2.574,1.571
-1.57,0.266,-0.028,-0.8,0.012,-0.284,0.232,-0.196,-0.196,-0.679,0.68,3.141,2.58,1.572
-1.57,0.271,-0.013,-0.814,0.012,-0.284,0.228,-0.194,-0.194,-0.68,0.68,3.142,2.586,1.571
-1.57,0.276,0.003,-0.829,0.012,-0.285,0.225,-0.192,-0.192,-0.68,0.681,3.141,2.592,1.572
-1.57,0.286,0.017,-0.844,0.012,-0.285,0.218,-0.188,-0.188,-0.681,0.682,3.141,2.603,1.572
-1.57,0.291,0.049,-0.873,0.012,-0.285,0.215,-0.186,-0.186,-0.682,0.682,3.142,2.609,1.571
-1.57,0.296,0.064,-0.888,0.012,-0.285,0.212,-0.184,-0.184,-0.682,0.683,3.141,2.615,1.572
-1.57,0.301,0.08,-0.902,0.012,-0.285,0.208,-0.182,-0.182,-0.683,0.683,3.142,2.621,1.571
-1.57,0.305,0.095,-0.917,0.012,-0.285,0.205,-0.18,-0.181,-0.683,0.684,3.14,2.625,1.572
-1.57,0.31,0.11,-0.931,0.012,-0.285,0.202,-0.178,-0.179,-0.684,0.684,3.14,2.631,1.57
-1.57,0.315,0.126,-0.946,0.012,-0.285,0.199,-0.177,-0.177,-0.684,0.685,3.141,2.636,1.572
-1.57,0.325,0.145,-0.965,0.012,-0.284,0.193,-0.173,-0.173,-0.685,0.686,3.141,2.647,1.572
-1.57,0.329,0.171,-0.988,0.012,-0.284,0.19,-0.171,-0.171,-0.686,0.686,3.142,2.653,1.571
-1.57,0.334,0.186,-1.002,0.012,-0.284,0.186,-0.169,-0.169,-0.686,0.687,3.141,2.659,1.572
-1.57,0.334,0.186,-1.002,0.012,-0.283,0.183,-0.167,-0.167,-0.687,0.687,3.142,2.665,1.571
-1.57,0.343,0.215,-1.03,0.012,-0.283,0.181,-0.165,-0.165,-0.687,0.688,3.141,2.671,1.572
-1.57,0.348,0.23,-1.044,0.012,-0.283,0.178,-0.163,-0.164,-0.688,0.688,3.14,2.675,1.57
-1.57,0.352,0.244,-1.058,0.012,-0.282,0.175,-0.162,-0.162,-0.688,0.689,3.141,2.679,1.572
